Timecode List:,00:00:10.800,00:00:13.200,00:00:33.120,00:00:40.440,00:00:42.480,00:00:52.360,00:00:59.760,00:01:14.520,00:01:15.880,00:01:27.280,00:01:29.880,00:01:38.120,00:01:53.160,00:01:54.640
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,270,00:00:10.800,10.800,270,00:00:10.800,10.800
2,271,00:00:10.800,10.800,330,00:00:13.200,13.200,60,00:00:02.400,2.400
3,331,00:00:13.200,13.200,828,00:00:33.120,33.120,498,00:00:19.920,19.920
4,829,00:00:33.120,33.120,1011,00:00:40.440,40.440,183,00:00:07.320,7.320
5,1012,00:00:40.440,40.440,1062,00:00:42.480,42.480,51,00:00:02.040,2.040
6,1063,00:00:42.480,42.480,1309,00:00:52.360,52.360,247,00:00:09.880,9.880
7,1310,00:00:52.360,52.360,1494,00:00:59.760,59.760,185,00:00:07.400,7.400
8,1495,00:00:59.760,59.760,1863,00:01:14.520,74.520,369,00:00:14.760,14.760
9,1864,00:01:14.520,74.520,1897,00:01:15.880,75.880,34,00:00:01.360,1.360
10,1898,00:01:15.880,75.880,2182,00:01:27.280,87.280,285,00:00:11.400,11.400
11,2183,00:01:27.280,87.280,2247,00:01:29.880,89.880,65,00:00:02.600,2.600
12,2248,00:01:29.880,89.880,2453,00:01:38.120,98.120,206,00:00:08.240,8.240
13,2454,00:01:38.120,98.120,2829,00:01:53.160,113.160,376,00:00:15.040,15.040
14,2830,00:01:53.160,113.160,2866,00:01:54.640,114.640,37,00:00:01.480,1.480
15,2867,00:01:54.640,114.640,3006,00:02:00.240,120.240,140,00:00:05.600,5.600
